,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
188,-0.75,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-22,60.2,3506.0,3748.0,3160.0,2419.0,54.53,2123.0,2905.0,1789.0,1399.0,True
190,-0.125,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-06-22,57.79,3247.0,4588.0,2157.0,3492.0,54.53,2123.0,2905.0,1789.0,1399.0,False
192,0.0,0.4216417935559855,Missouri,6.0,22.3,17.3,50.9,82.9,11.8,4.4,29.2,2021-06-22,44.18,2954.0,2859.0,1589.0,1899.0,54.53,2123.0,2905.0,1789.0,1399.0,0
197,-0.0407638888888888,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-06-21,60.46,3795.0,4485.0,4526.0,2000.0,54.43,2219.0,2990.0,1844.0,1418.0,False
198,0.0,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-06-21,57.76,4054.0,4962.0,2261.0,3386.0,54.43,2219.0,2990.0,1844.0,1418.0,False
200,0.1363636363636363,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-21,59.0,4076.0,4150.0,3148.0,2297.0,54.43,2219.0,2990.0,1844.0,1418.0,False
203,0.0,0.5865904373280693,Illinois,5.9,22.2,16.1,50.9,76.8,14.6,17.5,34.7,2021-06-21,58.32,3673.0,3826.0,3677.0,1833.0,54.43,2219.0,2990.0,1844.0,1418.0,0
205,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-21,60.14,3779.0,3610.0,3077.0,2518.0,54.43,2219.0,2990.0,1844.0,1418.0,True
210,0.0928571428571428,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-22,60.2,3506.0,3748.0,3160.0,2419.0,54.53,2123.0,2905.0,1789.0,1399.0,True
211,0.703125,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-21,60.14,3779.0,3610.0,3077.0,2518.0,54.43,2219.0,2990.0,1844.0,1418.0,True
213,-0.1,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-06-22,44.73,1517.0,1857.0,1252.0,9850.0,54.53,2123.0,2905.0,1789.0,1399.0,0
214,-0.05,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-06-21,47.73,2659.0,2392.0,1898.0,1216.0,54.43,2219.0,2990.0,1844.0,1418.0,False
215,0.0,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-21,47.29,3926.0,3361.0,2540.0,1909.0,54.43,2219.0,2990.0,1844.0,1418.0,0
216,0.0111111111111111,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-22,60.17,3833.0,4445.0,3431.0,2510.0,54.53,2123.0,2905.0,1789.0,1399.0,True
219,0.1666666666666666,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-06-21,52.54,3718.0,4518.0,3357.0,2211.0,54.43,2219.0,2990.0,1844.0,1418.0,0
220,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-22,59.08,3793.0,4070.0,3285.0,2057.0,54.53,2123.0,2905.0,1789.0,1399.0,False
222,0.0583333333333333,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-21,59.0,4076.0,4150.0,3148.0,2297.0,54.43,2219.0,2990.0,1844.0,1418.0,False
226,0.4,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-06-22,42.98,2182.0,2426.0,3836.0,1352.0,54.53,2123.0,2905.0,1789.0,1399.0,0
231,0.075,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-22,59.08,3793.0,4070.0,3285.0,2057.0,54.53,2123.0,2905.0,1789.0,1399.0,False
232,0.4,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-06-22,42.98,2182.0,2426.0,3836.0,1352.0,54.53,2123.0,2905.0,1789.0,1399.0,0
233,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-21,60.14,3779.0,3610.0,3077.0,2518.0,54.43,2219.0,2990.0,1844.0,1418.0,True
7,0.4666666666666667,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-05-13,38.6,5543.0,5756.0,4723.0,3914.0,48.56,5423.0,6525.0,5697.0,4178.0,0
12,0.1,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-13,52.2,7550.0,7375.0,7116.0,5840.0,48.56,5423.0,6525.0,5697.0,4178.0,False
20,0.0,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-05-13,40.23,4834.0,5262.0,5162.0,4307.0,48.56,5423.0,6525.0,5697.0,4178.0,0
37,0.5,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-05-13,49.42,9706.0,7863.0,7087.0,7714.0,48.56,5423.0,6525.0,5697.0,4178.0,False
68,0.0,0.4053555954370895,Louisiana,6.5,23.4,15.9,51.2,62.8,32.8,5.3,24.1,2021-05-13,33.77,2699.0,3206.0,2215.0,2325.0,48.56,5423.0,6525.0,5697.0,4178.0,0
71,0.0,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-13,50.75,8290.0,7783.0,7981.0,7824.0,48.56,5423.0,6525.0,5697.0,4178.0,False
74,0.0,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-05-13,42.41,5301.0,5305.0,4011.0,3901.0,48.56,5423.0,6525.0,5697.0,4178.0,True
87,0.0,0.5363951364856667,Minnesota,6.2,23.1,16.3,50.2,83.8,7.0,5.6,36.1,2021-05-13,50.13,6867.0,7179.0,6445.0,5802.0,48.56,5423.0,6525.0,5697.0,4178.0,0
98,1.0,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-05-13,40.83,3961.0,5862.0,3419.0,2769.0,48.56,5423.0,6525.0,5697.0,4178.0,0
102,0.0,0.365652201383185,South Dakota,6.9,24.5,17.2,49.5,84.6,2.3,4.2,28.8,2021-05-13,45.88,3081.0,4588.0,2797.0,2196.0,48.56,5423.0,6525.0,5697.0,4178.0,0
111,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-13,52.2,7550.0,7375.0,7116.0,5840.0,48.56,5423.0,6525.0,5697.0,4178.0,False
